This file was created by CMPT_ME_PRIOR_RETS using the 202111 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
Mom    is the average of the returns on two (big and small) high prior return portfolios
minus the average of the returns on two low prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured from month -12 to - 2.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,Mom   
196312,   1.75
196401,   0.86
196402,   0.26
196403,   0.75
196404,  -0.58
196405,   2.57
196406,   0.46
196407,  -0.32
196408,  -0.22
196409,  -0.41
196410,   0.08
196411,   1.03
196412,  -0.74
196501,  -1.44
196502,   0.32
196503,   0.15
196504,   2.63
196505,   0.60
196506,  -3.13
196507,   4.12
196508,   2.58
196509,   3.30
196510,   3.46
196511,   4.45
196512,   0.12
196601,   5.39
196602,   4.57
196603,   1.42
196604,   6.28
196605,  -4.70
196606,   3.25
196607,  -1.40
196608,  -2.14
196609,  -1.84
196610,  -5.26
196611,   5.72
196612,   1.06
196701,  -6.93
196702,   3.52
196703,   1.53
196704,   0.59
196705,   0.72
196706,   6.00
196707,  -1.03
196708,  -1.38
196709,   2.52
196710,   3.67
196711,   1.26
196712,   3.25
196801,  -4.70
196802,  -3.43
196803,   3.23
196804,   5.09
196805,   3.80
196806,  -1.90
196807,  -0.88
196808,   1.89
196809,  -0.65
196810,  -1.46
196811,   1.75
196812,  -0.01
196901,  -0.17
196902,  -2.36
196903,   3.97
196904,   1.13
196905,   1.70
196906,  -2.30
196907,   1.70
196908,   2.17
196909,   2.52
196910,  -4.31
196911,   3.66
196912,   4.96
197001,   0.60
197002,   0.23
197003,  -0.36
197004,  -0.77
197005,  -2.78
197006,   5.70
197007,  -3.14
197008,  -6.55
197009,  -8.80
197010,   9.42
197011,   2.73
197012,  -2.23
197101,  -6.51
197102,   0.79
197103,  -1.41
197104,   1.41
197105,   0.86
197106,   2.73
197107,  -2.37
