Date,frequency,factor_name,factor_value
2011/09/30,MONTHLY,HiYieldSpread,8.41
2011/10/31,MONTHLY,HiYieldSpread,7.07
2011/11/30,MONTHLY,HiYieldSpread,7.79
2011/12/31,MONTHLY,HiYieldSpread,7.23
2012/01/31,MONTHLY,HiYieldSpread,6.61
2012/02/29,MONTHLY,HiYieldSpread,5.98
2012/03/31,MONTHLY,HiYieldSpread,5.99
2012/04/30,MONTHLY,HiYieldSpread,6.04
2012/05/31,MONTHLY,HiYieldSpread,6.96
2012/06/30,MONTHLY,HiYieldSpread,6.44
2012/07/31,MONTHLY,HiYieldSpread,6.16
2012/08/31,MONTHLY,HiYieldSpread,5.98
2012/09/30,MONTHLY,HiYieldSpread,5.74
2012/10/31,MONTHLY,HiYieldSpread,5.63
2012/11/30,MONTHLY,HiYieldSpread,5.65
2012/12/31,MONTHLY,HiYieldSpread,5.34
2013/01/31,MONTHLY,HiYieldSpread,4.95
2013/02/28,MONTHLY,HiYieldSpread,4.98
2013/03/31,MONTHLY,HiYieldSpread,4.86
2013/04/30,MONTHLY,HiYieldSpread,4.55
2013/05/31,MONTHLY,HiYieldSpread,4.62
2013/06/30,MONTHLY,HiYieldSpread,5.21
2013/07/31,MONTHLY,HiYieldSpread,4.71
2013/08/31,MONTHLY,HiYieldSpread,4.76
2013/09/30,MONTHLY,HiYieldSpread,4.83
2013/10/31,MONTHLY,HiYieldSpread,4.36
2013/11/30,MONTHLY,HiYieldSpread,4.27
2013/12/31,MONTHLY,HiYieldSpread,4
2014/01/31,MONTHLY,HiYieldSpread,4.21
2014/02/28,MONTHLY,HiYieldSpread,3.81
2014/03/31,MONTHLY,HiYieldSpread,3.77
2014/04/30,MONTHLY,HiYieldSpread,3.71
2014/05/31,MONTHLY,HiYieldSpread,3.67
2014/06/30,MONTHLY,HiYieldSpread,3.53
2014/07/31,MONTHLY,HiYieldSpread,4.04
2014/08/31,MONTHLY,HiYieldSpread,3.84
2014/09/30,MONTHLY,HiYieldSpread,4.4
2014/10/31,MONTHLY,HiYieldSpread,4.3
2014/11/30,MONTHLY,HiYieldSpread,4.67
2014/12/31,MONTHLY,HiYieldSpread,5.04
2015/01/31,MONTHLY,HiYieldSpread,5.26
2015/02/28,MONTHLY,HiYieldSpread,4.46
2015/03/31,MONTHLY,HiYieldSpread,4.82
2015/04/30,MONTHLY,HiYieldSpread,4.59
2015/05/31,MONTHLY,HiYieldSpread,4.58
2015/06/30,MONTHLY,HiYieldSpread,5
2015/07/31,MONTHLY,HiYieldSpread,5.36
2015/08/31,MONTHLY,HiYieldSpread,5.7
2015/09/30,MONTHLY,HiYieldSpread,6.62
2015/10/31,MONTHLY,HiYieldSpread,5.9
2015/11/30,MONTHLY,HiYieldSpread,6.4
2015/12/31,MONTHLY,HiYieldSpread,6.95
2016/01/31,MONTHLY,HiYieldSpread,7.77
2016/02/29,MONTHLY,HiYieldSpread,7.75
2016/03/31,MONTHLY,HiYieldSpread,7.05
2016/04/30,MONTHLY,HiYieldSpread,6.21
2016/05/31,MONTHLY,HiYieldSpread,5.97
2016/06/30,MONTHLY,HiYieldSpread,6.21
2016/07/31,MONTHLY,HiYieldSpread,5.69
2016/08/31,MONTHLY,HiYieldSpread,5.1
2016/09/30,MONTHLY,HiYieldSpread,4.97
2016/10/31,MONTHLY,HiYieldSpread,4.91
2016/11/30,MONTHLY,HiYieldSpread,4.67
2016/12/31,MONTHLY,HiYieldSpread,4.22
2017/01/31,MONTHLY,HiYieldSpread,4
2017/02/28,MONTHLY,HiYieldSpread,3.74
2017/03/31,MONTHLY,HiYieldSpread,3.92
2017/04/30,MONTHLY,HiYieldSpread,3.81
2017/05/31,MONTHLY,HiYieldSpread,3.74
2017/06/30,MONTHLY,HiYieldSpread,3.75
2017/07/31,MONTHLY,HiYieldSpread,3.61
2017/08/31,MONTHLY,HiYieldSpread,3.85
2017/09/30,MONTHLY,HiYieldSpread,3.56
2017/10/31,MONTHLY,HiYieldSpread,3.51
2017/11/30,MONTHLY,HiYieldSpread,3.61
2017/12/31,MONTHLY,HiYieldSpread,3.63
2018/01/31,MONTHLY,HiYieldSpread,3.29
2018/02/28,MONTHLY,HiYieldSpread,3.47
2018/03/31,MONTHLY,HiYieldSpread,3.72
2018/04/30,MONTHLY,HiYieldSpread,3.46
2018/05/31,MONTHLY,HiYieldSpread,3.63
2018/06/30,MONTHLY,HiYieldSpread,3.71
2018/07/31,MONTHLY,HiYieldSpread,3.46
2018/08/31,MONTHLY,HiYieldSpread,3.49
2018/09/30,MONTHLY,HiYieldSpread,3.28
2018/10/31,MONTHLY,HiYieldSpread,3.81
2018/11/30,MONTHLY,HiYieldSpread,4.29
2018/12/31,MONTHLY,HiYieldSpread,5.33
2019/01/31,MONTHLY,HiYieldSpread,4.37
2019/02/28,MONTHLY,HiYieldSpread,3.92
2019/03/31,MONTHLY,HiYieldSpread,4.05
2019/04/30,MONTHLY,HiYieldSpread,3.73
2019/05/31,MONTHLY,HiYieldSpread,4.59
2019/06/30,MONTHLY,HiYieldSpread,4.07
2019/07/31,MONTHLY,HiYieldSpread,3.93
2019/08/31,MONTHLY,HiYieldSpread,4.13
2019/09/30,MONTHLY,HiYieldSpread,4.02
2019/10/31,MONTHLY,HiYieldSpread,4.15
2019/11/30,MONTHLY,HiYieldSpread,4.02
2019/12/31,MONTHLY,HiYieldSpread,3.6
2020/01/31,MONTHLY,HiYieldSpread,4.03
2020/02/29,MONTHLY,HiYieldSpread,5.06
2020/03/31,MONTHLY,HiYieldSpread,8.77
2020/04/30,MONTHLY,HiYieldSpread,7.63
2020/05/31,MONTHLY,HiYieldSpread,6.54
2020/06/30,MONTHLY,HiYieldSpread,6.44
2020/07/31,MONTHLY,HiYieldSpread,5.16
2020/08/31,MONTHLY,HiYieldSpread,5.02
2020/09/30,MONTHLY,HiYieldSpread,5.41
2020/10/31,MONTHLY,HiYieldSpread,5.32
2020/11/30,MONTHLY,HiYieldSpread,4.33
2020/12/31,MONTHLY,HiYieldSpread,3.86
2021/01/31,MONTHLY,HiYieldSpread,3.84
2021/02/28,MONTHLY,HiYieldSpread,3.57
2021/03/31,MONTHLY,HiYieldSpread,3.36
2021/04/30,MONTHLY,HiYieldSpread,3.28
2021/05/31,MONTHLY,HiYieldSpread,3.34
2021/06/30,MONTHLY,HiYieldSpread,3.04
2021/07/31,MONTHLY,HiYieldSpread,3.32
2021/08/31,MONTHLY,HiYieldSpread,3.21
2021/09/30,MONTHLY,HiYieldSpread,3.15
2010/01/31,MONTHLY,BBBSpread,2.3
2010/02/28,MONTHLY,BBBSpread,2.33
2010/03/31,MONTHLY,BBBSpread,2.05
2010/04/30,MONTHLY,BBBSpread,1.97
2010/05/31,MONTHLY,BBBSpread,2.51
2010/06/30,MONTHLY,BBBSpread,2.63
2010/07/31,MONTHLY,BBBSpread,2.41
2010/08/31,MONTHLY,BBBSpread,2.49
2010/09/30,MONTHLY,BBBSpread,2.37
2010/10/31,MONTHLY,BBBSpread,2.26
2010/11/30,MONTHLY,BBBSpread,2.28
2010/12/31,MONTHLY,BBBSpread,2.11
2011/01/31,MONTHLY,BBBSpread,2.04
2011/02/28,MONTHLY,BBBSpread,1.94
2011/03/31,MONTHLY,BBBSpread,1.89
2011/04/30,MONTHLY,BBBSpread,1.86
2011/05/31,MONTHLY,BBBSpread,1.96
2011/06/30,MONTHLY,BBBSpread,2.03
2011/07/31,MONTHLY,BBBSpread,2.04
2011/08/31,MONTHLY,BBBSpread,2.66
2011/09/30,MONTHLY,BBBSpread,3.1
2011/10/31,MONTHLY,BBBSpread,2.73
2011/11/30,MONTHLY,BBBSpread,3.14
2011/12/31,MONTHLY,BBBSpread,3.15
2012/01/31,MONTHLY,BBBSpread,2.87
2012/02/29,MONTHLY,BBBSpread,2.55
2012/03/31,MONTHLY,BBBSpread,2.43
2012/04/30,MONTHLY,BBBSpread,2.55
2012/05/31,MONTHLY,BBBSpread,2.85
2012/06/30,MONTHLY,BBBSpread,2.75
2012/07/31,MONTHLY,BBBSpread,2.55
2012/08/31,MONTHLY,BBBSpread,2.45
2012/09/30,MONTHLY,BBBSpread,2.25
2012/10/31,MONTHLY,BBBSpread,2.02
2012/11/30,MONTHLY,BBBSpread,2.13
2012/12/31,MONTHLY,BBBSpread,2.04
2013/01/31,MONTHLY,BBBSpread,1.95
2013/02/28,MONTHLY,BBBSpread,1.99
2013/03/31,MONTHLY,BBBSpread,2.01
2013/04/30,MONTHLY,BBBSpread,1.96
2013/05/31,MONTHLY,BBBSpread,1.95
2013/06/30,MONTHLY,BBBSpread,2.21
2013/07/31,MONTHLY,BBBSpread,2.07
2013/08/31,MONTHLY,BBBSpread,2.11
2013/09/30,MONTHLY,BBBSpread,2.09
2013/10/31,MONTHLY,BBBSpread,1.94
2013/11/30,MONTHLY,BBBSpread,1.91
2013/12/31,MONTHLY,BBBSpread,1.74
2014/01/31,MONTHLY,BBBSpread,1.78
2014/02/28,MONTHLY,BBBSpread,1.66
2014/03/31,MONTHLY,BBBSpread,1.61
2014/04/30,MONTHLY,BBBSpread,1.54
2014/05/31,MONTHLY,BBBSpread,1.5
2014/06/30,MONTHLY,BBBSpread,1.44
2014/07/31,MONTHLY,BBBSpread,1.47
2014/08/31,MONTHLY,BBBSpread,1.5
2014/09/30,MONTHLY,BBBSpread,1.59
2014/10/31,MONTHLY,BBBSpread,1.67
2014/11/30,MONTHLY,BBBSpread,1.8
2014/12/31,MONTHLY,BBBSpread,1.98
2015/01/31,MONTHLY,BBBSpread,2.13
2015/02/28,MONTHLY,BBBSpread,1.8
2015/03/31,MONTHLY,BBBSpread,1.82
2015/04/30,MONTHLY,BBBSpread,1.79
2015/05/31,MONTHLY,BBBSpread,1.83
2015/06/30,MONTHLY,BBBSpread,1.93
2015/07/31,MONTHLY,BBBSpread,2.07
2015/08/31,MONTHLY,BBBSpread,2.24
2015/09/30,MONTHLY,BBBSpread,2.4
2015/10/31,MONTHLY,BBBSpread,2.23
2015/11/30,MONTHLY,BBBSpread,2.22
2015/12/31,MONTHLY,BBBSpread,2.41
2016/01/31,MONTHLY,BBBSpread,2.79
2016/02/29,MONTHLY,BBBSpread,2.82
2016/03/31,MONTHLY,BBBSpread,2.31
2016/04/30,MONTHLY,BBBSpread,2.07
2016/05/31,MONTHLY,BBBSpread,2.07
2016/06/30,MONTHLY,BBBSpread,2.13
2016/07/31,MONTHLY,BBBSpread,1.97
2016/08/31,MONTHLY,BBBSpread,1.83
2016/09/30,MONTHLY,BBBSpread,1.85
2016/10/31,MONTHLY,BBBSpread,1.78
2016/11/30,MONTHLY,BBBSpread,1.75
2016/12/31,MONTHLY,BBBSpread,1.66
2017/01/31,MONTHLY,BBBSpread,1.61
2017/02/28,MONTHLY,BBBSpread,1.54
2017/03/31,MONTHLY,BBBSpread,1.57
2017/04/30,MONTHLY,BBBSpread,1.55
2017/05/31,MONTHLY,BBBSpread,1.5
2017/06/30,MONTHLY,BBBSpread,1.49
