Date,frequency,factor_name,factor_value
2019/09/30,MONTHLY,BBBSpreadChg,-0.06
2019/10/31,MONTHLY,BBBSpreadChg,-0.06
2019/11/30,MONTHLY,BBBSpreadChg,-0.06
2019/12/31,MONTHLY,BBBSpreadChg,-0.14
2020/01/31,MONTHLY,BBBSpreadChg,0.09
2020/02/29,MONTHLY,BBBSpreadChg,0.25
2020/03/31,MONTHLY,BBBSpreadChg,2.32
2020/04/30,MONTHLY,BBBSpreadChg,-1.14
2020/05/31,MONTHLY,BBBSpreadChg,-0.38
2020/06/30,MONTHLY,BBBSpreadChg,-0.37
2020/07/31,MONTHLY,BBBSpreadChg,-0.22
2020/08/31,MONTHLY,BBBSpreadChg,-0.09
2020/09/30,MONTHLY,BBBSpreadChg,0.08
2020/10/31,MONTHLY,BBBSpreadChg,-0.13
2020/11/30,MONTHLY,BBBSpreadChg,-0.28
2020/12/31,MONTHLY,BBBSpreadChg,-0.13
2021/01/31,MONTHLY,BBBSpreadChg,-0.02
2021/02/28,MONTHLY,BBBSpreadChg,-0.09
2021/03/31,MONTHLY,BBBSpreadChg,0
2021/04/30,MONTHLY,BBBSpreadChg,-0.02
2021/05/31,MONTHLY,BBBSpreadChg,-0.04
2021/06/30,MONTHLY,BBBSpreadChg,-0.06
2021/07/31,MONTHLY,BBBSpreadChg,0.06
2021/08/31,MONTHLY,BBBSpreadChg,0.01
2021/09/30,MONTHLY,BBBSpreadChg,-0.04
