This file was created using the 202111 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
201710    ,1.80   ,-0.87   ,-0.90    ,0.09
201711    ,1.93   ,-0.71   ,-0.13    ,0.08
201712    ,1.38    ,0.90    ,0.11    ,0.09
201801    ,5.15   ,-1.05   ,-1.43    ,0.11
201802   ,-4.00    ,0.82   ,-1.79    ,0.11
201803   ,-1.76    ,1.23   ,-0.42    ,0.12
201804    ,0.93   ,-0.54    ,1.76    ,0.14
201805    ,0.49    ,1.88   ,-4.52    ,0.14
201806   ,-0.49   ,-0.69   ,-1.39    ,0.14
201807    ,2.53   ,-2.53    ,1.19    ,0.16
201808    ,0.87   ,-0.50   ,-4.19    ,0.16
201809    ,0.32   ,-1.49    ,0.30    ,0.15
201810   ,-8.19   ,-2.53    ,2.44    ,0.19
201811    ,0.88   ,-0.51   ,-1.22    ,0.18
201812   ,-7.67   ,-1.01    ,0.56    ,0.19
201901    ,7.47   ,-0.09   ,-0.71    ,0.21
201902    ,2.94    ,0.23   ,-2.09    ,0.18
201903    ,0.76   ,-1.84   ,-3.28    ,0.19
201904    ,3.44   ,-1.25   ,-0.26    ,0.21
201905   ,-5.99    ,0.67   ,-1.70    ,0.21
201906    ,6.13   ,-1.98   ,-0.17    ,0.18
201907   ,-0.07   ,-1.08   ,-0.63    ,0.19
201908   ,-2.55   ,-1.40   ,-2.70    ,0.16
201909    ,1.90   ,-0.48    ,4.15    ,0.18
201910    ,2.56    ,0.81   ,-0.53    ,0.15
201911    ,2.74    ,0.32   ,-2.22    ,0.12
201912    ,3.05    ,1.27    ,0.62    ,0.14
202001   ,-1.20   ,-2.16   ,-4.33    ,0.13
202002   ,-8.54   ,-1.23   ,-1.07    ,0.12
202003  ,-13.77   ,-3.29   ,-9.30    ,0.12
202004   ,10.68    ,2.34   ,-4.62    ,0.00
202005    ,5.30    ,2.65   ,-5.10    ,0.01
202006    ,2.76    ,0.19   ,-1.73    ,0.01
202007    ,4.34   ,-1.26   ,-3.64    ,0.01
202008    ,6.84    ,1.45   ,-3.87    ,0.01
202009   ,-3.00    ,2.39   ,-2.46    ,0.01
202010   ,-2.60    ,1.22    ,2.04    ,0.01
202011   ,13.34    ,0.67    ,4.34    ,0.01
202012    ,4.82    ,3.31   ,-1.20    ,0.01
202101   ,-0.55    ,2.97    ,1.01    ,0.00
202102    ,2.88    ,0.43    ,7.46    ,0.00
202103    ,3.11   ,-2.34    ,5.57    ,0.00
202104    ,4.49   ,-1.04   ,-1.97    ,0.00
202105    ,1.65   ,-0.44    ,4.14    ,0.00
202106    ,1.01   ,-0.29   ,-5.25    ,0.00
202107    ,1.04   ,-2.31   ,-1.67    ,0.00
202108    ,2.42    ,0.09   ,-1.71    ,0.00
202109   ,-3.82    ,0.78    ,3.85    ,0.00
202110    ,5.04   ,-3.29   ,-1.48    ,0.00
202111   ,-2.64   ,-2.06   ,-2.20    ,0.00



 Annual Factors: January-December
,Mkt-RF,SMB,HML,RF
1991   ,12.17    ,2.84   ,-6.02    ,5.60
1992   ,-9.56    ,1.52    ,6.85    ,3.51
1993   ,18.92    ,9.06   ,17.71    ,2.90
1994    ,2.21   ,-0.78    ,7.19    ,3.90
1995   ,13.10   ,-2.15   ,-4.41    ,5.60
1996    ,7.20   ,-2.45    ,7.82    ,5.21
1997    ,8.60  ,-17.73    ,6.43    ,5.26
1998   ,15.69  ,-16.84   ,-8.03    ,4.86
1999   ,24.82   ,12.19  ,-30.32    ,4.68
2000  ,-18.63   ,-5.77   ,38.45    ,5.89
2001  ,-19.65    ,3.99   ,21.19    ,3.83
2002  ,-18.78    ,4.67   ,16.62    ,1.65
2003   ,36.43   ,20.83   ,11.59    ,1.02
2004   ,16.24    ,9.12   ,10.17    ,1.20
2005    ,8.80    ,5.94    ,7.64    ,2.98
2006   ,16.05   ,-4.27   ,11.10    ,4.80
2007    ,5.38   ,-7.90   ,-3.85    ,4.66
2008  ,-42.00   ,-2.17    ,2.34    ,1.60
2009   ,31.59    ,9.82   ,-4.28    ,0.10
2010   ,14.01   ,12.16   ,-5.06    ,0.12
2011   ,-6.93   ,-5.70   ,-4.73    ,0.04
2012   ,16.88   ,-2.83    ,6.33    ,0.06
2013   ,28.67    ,1.32    ,2.11    ,0.02
2014    ,3.28   ,-5.71   ,-2.85    ,0.02
2015   ,-0.37    ,3.71   ,-9.58    ,0.02
2016    ,7.90    ,2.86   ,15.00    ,0.20
2017   ,23.50    ,2.57   ,-7.31    ,0.80
2018  ,-11.39   ,-6.28   ,-7.39    ,1.81
2019   ,24.41   ,-5.96  ,-12.00    ,2.14
2020   ,16.86    ,5.43  ,-37.31    ,0.44
