Ticker,Name,Weight,Market Value,Sector,Country
4732.T,USS LTD,0.01,USD 435083.03,Consumer Discretionary,JP
4739.T,ITOCHU TECHNO-SOLUTIONS CORP,0.01,USD 392479.07,Information Technology,JP
4751.T,CYBER AGENT INC,0.02,USD 1129456.97,Communication,JP
4755.T,RAKUTEN GROUP INC,0.01,USD 749946.48,Consumer Discretionary,JP
4768.T,OTSUKA CORP,0.01,USD 577684.25,Information Technology,JP
4901.T,FUJIFILM HOLDINGS CORP,0.06,USD 3628656.39,Information Technology,JP
4911.T,SHISEIDO LTD,0.05,USD 2886134.77,Consumer Staples,JP
4912.T,LION CORP,0.01,USD 404161.22,Consumer Staples,JP
4922.T,KOSE CORP,0.01,USD 559769.43,Consumer Staples,JP
4927.T,POLA ORBIS HOLDINGS INC,0,USD 308713.12,Consumer Staples,JP
4967.T,KOBAYASHI PHARMACEUTICAL LTD,0.01,USD 559348.55,Consumer Staples,JP
5019.T,IDEMITSU KOSAN LTD,0.01,USD 576073.29,Energy,JP
5020.T,ENEOS HOLDINGS INC,0.02,USD 1229225.67,Energy,JP
5108.T,BRIDGESTONE CORP,0.04,USD 2740348.60,Consumer Discretionary,JP
5201.T,AGC INC,0.02,USD 1265181.39,Industrials,JP
5332.T,TOTO LTD,0.01,USD 701175.72,Industrials,JP
5333.T,NGK INSULATORS LTD,0.01,USD 422888.51,Industrials,JP
5401.T,NIPPON STEEL CORP,0.02,USD 1460674.32,Materials,JP
5411.T,JFE HOLDINGS INC,0.01,USD 854459.95,Materials,JP
5486.T,HITACHI METALS LTD,0.01,USD 467964.68,Materials,JP
5713.T,SUMITOMO METAL MINING LTD,0.02,USD 950519.24,Materials,JP
5802.T,SUMITOMO ELECTRIC INDUSTRIES LTD,0.02,USD 936081.25,Consumer Discretionary,JP
5938.T,LIXIL CORP,0.01,USD 714250.42,Industrials,JP
5947.T,RINNAI CORP,0.01,USD 490049.87,Consumer Discretionary,JP
6.HK,POWER ASSETS HOLDINGS LTD,0.01,USD 724131.73,Utilities,HK
6005.T,MIURA LTD,0.01,USD 406807.26,Industrials,JP
6098.T,RECRUIT HOLDINGS LTD,0.14,USD 8967621.57,Industrials,JP
6146.T,DISCO CORP,0.01,USD 894276.96,Information Technology,JP
6178.T,JAPAN POST HOLDINGS LTD,0.02,USD 1457047.07,Financials,JP
6201.T,TOYOTA INDUSTRIES CORP,0.02,USD 1343611.33,Consumer Discretionary,JP
