This file was created by CMPT_ME_BEME_RETS using the 202111 CRSP database.
The 1-month TBill return is from Ibbotson and Associates, Inc.

,Mkt-RF,SMB,HML,RF
193801,    0.49,    4.84,   -1.61,    0.00
193802,    5.84,    0.40,   -2.02,    0.00
193803,  -23.82,   -4.34,   -3.54,   -0.01
193804,   14.51,    6.46,    0.23,    0.01
193805,   -3.83,   -2.51,   -0.27,    0.00
193806,   23.87,    4.30,    0.32,    0.00
193807,    7.34,    6.67,    2.14,   -0.01
193808,   -2.67,   -2.44,   -4.73,    0.00
193809,    0.81,   -2.73,   -1.61,    0.02
193810,    7.80,    5.79,    5.07,    0.01
193811,   -1.72,   -2.57,   -1.21,   -0.06
193812,    4.19,   -1.83,    0.53,    0.00
193901,   -5.96,   -1.53,   -3.96,   -0.01
193902,    3.51,    0.64,    2.94,    0.01
193903,  -11.99,   -4.72,   -8.37,   -0.01
193904,   -0.18,    1.66,   -0.29,    0.00
193905,    6.80,    2.78,    0.53,    0.01
193906,   -5.31,   -0.99,   -5.45,    0.01
193907,   10.24,    4.13,    0.31,    0.00
193908,   -6.68,   -4.68,   -2.33,   -0.01
193909,   16.88,   20.61,   21.88,    0.01
193910,   -0.53,   -0.16,   -4.70,    0.00
193911,   -3.62,   -5.22,   -6.28,    0.00
193912,    3.03,    0.87,   -4.19,    0.00
194001,   -2.41,    0.40,   -1.09,    0.00
194002,    1.44,    2.22,    0.19,    0.00
194003,    2.05,    1.26,   -1.29,    0.00
194004,    0.22,    4.01,   -0.26,    0.00
194005,  -21.95,   -6.61,   -3.82,   -0.02
194006,    6.67,   -1.72,    3.88,    0.00
194007,    3.16,    1.01,   -0.74,    0.01
194008,    2.19,   -0.11,    0.56,   -0.01
194009,    2.39,    3.22,   -1.13,    0.00
194010,    3.02,    0.28,    4.64,    0.00
194011,   -1.61,    1.94,    0.12,    0.00
194012,    0.69,   -2.15,   -0.89,    0.00
194101,   -4.17,    1.00,    3.83,   -0.01
194102,   -1.43,   -1.56,    0.89,   -0.01
194103,    0.84,    0.10,    3.04,    0.01
194104,   -5.46,   -1.68,    3.41,   -0.01
194105,    1.39,   -0.65,    0.60,    0.00
194106,    5.83,    1.32,    0.59,    0.00
194107,    5.87,    5.71,    7.25,    0.03
194108,   -0.17,   -0.42,   -1.10,    0.01
194109,   -0.87,   -0.99,   -0.28,    0.01
194110,   -5.25,   -2.02,    1.63,    0.00
194111,   -1.92,   -1.21,   -0.64,    0.00
194112,   -4.87,   -2.99,   -5.94,    0.01
194201,    0.79,    7.53,   10.10,    0.02
194202,   -2.46,    1.72,   -1.13,    0.01
194203,   -6.58,    1.77,   -0.62,    0.01
194204,   -4.37,   -0.60,    2.09,    0.01
194205,    5.94,   -3.05,   -2.65,    0.03
194206,    2.69,   -1.22,    0.54,    0.02
194207,    3.51,   -0.14,    2.44,    0.03
194208,    1.80,   -0.02,    1.40,    0.03
194209,    2.61,    0.55,    2.28,    0.03
194210,    6.82,    1.75,    6.37,    0.03
194211,    0.15,   -1.36,   -4.05,    0.03
194212,    5.12,   -2.56,    0.54,    0.03
194301,    7.13,    8.88,    8.18,    0.03
194302,    6.15,    4.70,    6.33,    0.03
194303,    6.01,    5.03,    5.51,    0.03
194304,    0.81,    2.02,    5.76,    0.03
194305,    5.74,    4.34,    3.21,    0.03
194306,    1.82,   -1.01,   -0.70,    0.03
194307,   -4.77,   -2.35,   -2.30,    0.03
194308,    1.30,   -0.60,   -0.43,    0.03
194309,    2.40,    1.30,    1.43,    0.03
194310,   -1.15,    0.58,    1.64,    0.03
194311,   -5.91,   -1.63,   -4.03,    0.03
194312,    6.36,    3.31,    3.23,    0.03
194401,    1.74,    2.54,    2.17,    0.03
194402,    0.37,   -0.11,    0.83,    0.03
194403,    2.46,    1.73,    3.43,    0.02
194404,   -1.69,   -1.38,   -1.13,    0.03
194405,    5.07,    1.66,    1.04,    0.03
194406,    5.49,    3.99,    1.75,    0.03
194407,   -1.49,    0.57,   -0.48,    0.03
194408,    1.57,    2.32,   -1.44,    0.03
194409,    0.01,    0.44,   -0.97,    0.02
194410,    0.16,   -0.11,   -0.39,    0.03
194411,    1.71,    0.23,    2.52,    0.03
194412,    4.03,    2.21,    6.04,    0.02
194501,    2.01,    2.44,    0.63,    0.03
194502,    6.23,    1.52,    4.33,    0.02
194503,   -3.89,   -1.61,   -1.66,    0.02
194504,    7.80,    0.31,    3.24,    0.03
194505,    1.73,    1.48,    0.36,    0.03
194506,    0.39,    3.06,    4.23,    0.02
194507,   -2.17,   -1.52,   -2.62,    0.03
194508,    6.20,    1.50,   -4.27,    0.03
194509,    4.77,    1.70,    0.42,    0.03
194510,    3.89,    2.38,    2.13,    0.03
194511,    5.39,    4.31,    3.96,    0.02
194512,    1.20,    2.10,   -2.28,    0.03
194601,    6.24,    3.91,    2.48,    0.03
194602,   -5.83,   -0.71,   -1.46,    0.03
194603,    5.87,    0.29,   -0.54,    0.03
194604,    4.23,    2.35,    0.32,    0.03
194605,    3.93,    1.46,    1.28,    0.03
194606,   -3.89,   -1.58,   -0.39,    0.03
194607,   -2.69,   -2.07,    0.07,    0.03
194608,   -6.44,   -1.84,    0.55,    0.03
194609,  -10.17,   -4.40,   -1.92,    0.03
194610,   -1.44,    0.10,    3.46,    0.03
194611,   -0.01,   -0.44,    1.47,    0.03
194612,    4.96,    0.08,   -1.36,    0.03
194701,    1.25,    2.20,   -0.73,    0.03
194702,   -1.08,    0.68,    0.15,    0.03
194703,   -1.67,   -1.62,    0.61,    0.03
194704,   -4.80,   -3.96,    0.85,    0.03
194705,   -0.97,   -3.26,    0.33,    0.03
194706,    5.29,   -0.30,   -0.59,    0.03
194707,    4.14,    1.43,    2.82,    0.03
194708,   -1.74,    0.32,    0.18,    0.03
194709,   -0.54,    1.64,    1.36,    0.06
194710,    2.47,    0.51,    0.07,    0.06
194711,   -1.97,   -1.71,    1.10,    0.06
194712,    3.00,   -2.46,    3.71,    0.08
194801,   -3.93,    2.50,    1.39,    0.07
194802,   -4.38,   -1.72,    0.07,    0.07
194803,    8.07,    0.14,    4.50,    0.09
194804,    3.65,   -1.65,    4.11,    0.08
194805,    7.30,    0.91,   -1.27,    0.08
194806,   -0.10,   -1.82,    2.81,    0.09
194807,   -5.09,   -0.33,    0.14,    0.08
194808,    0.25,   -1.11,    0.28,    0.09
194809,   -2.97,   -1.23,   -1.71,    0.04
194810,    5.96,   -1.50,    0.58,    0.04
194811,   -9.30,   -0.60,   -4.13,    0.04
194812,    3.26,   -2.82,   -1.94,    0.04
194901,    0.23,    1.77,    1.23,    0.10
194902,   -2.93,   -1.90,   -0.86,    0.09
194903,    4.04,    2.50,    1.29,    0.10
194904,   -1.87,   -0.89,   -1.13,    0.09
194905,   -2.94,   -0.79,   -2.37,    0.10
194906,    0.10,   -0.91,   -1.65,    0.10
194907,    5.54,    0.55,    0.36,    0.09
194908,    2.60,    0.13,   -0.62,    0.09
194909,    3.09,    1.06,    0.24,    0.09
194910,    3.14,    1.04,   -0.47,    0.09
194911,    1.82,   -1.02,   -0.97,    0.08
194912,    5.13,    2.08,    1.79,    0.09
195001,    1.70,    3.34,    0.13,    0.09
195002,    1.48,    0.01,   -0.81,    0.09
195003,    1.26,   -1.43,   -2.81,    0.10
195004,    3.94,    2.01,    1.37,    0.09
195005,    4.31,   -2.12,    0.45,    0.10
195006,   -5.94,   -2.36,   -0.73,    0.10
195007,    1.36,    0.69,   13.56,    0.10
195008,    4.85,    0.76,   -1.50,    0.10
195009,    4.81,    0.49,   -1.07,    0.10
195010,   -0.18,   -0.47,    1.30,    0.12
195011,    2.76,   -0.89,    3.33,    0.11
195012,    5.54,    1.47,    7.36,    0.11
195101,    5.70,    1.76,    3.64,    0.13
195102,    1.41,    0.08,   -2.85,    0.10
195103,   -2.15,   -0.77,   -4.10,    0.11
195104,    4.86,   -1.45,    3.27,    0.13
195105,   -2.34,    0.00,   -1.37,    0.12
195106,   -2.62,   -2.06,   -3.75,    0.12
195107,    6.94,   -1.99,    2.06,    0.13
195108,    4.27,    0.99,   -0.13,    0.13
195109,    0.70,    1.87,    0.63,    0.12
195110,   -2.53,   -0.22,    0.23,    0.16
195111,    0.57,   -0.32,   -0.06,    0.11
195112,    3.33,   -2.26,   -1.59,    0.12
195201,    1.45,   -0.61,    1.55,    0.15
195202,   -2.62,    0.82,   -0.61,    0.12
195203,    4.44,   -2.99,    2.17,    0.11
195204,   -4.97,    0.46,   -0.10,    0.12
195205,    3.20,   -1.00,    0.04,    0.13
195206,    3.83,   -1.64,    1.24,    0.15
195207,    0.91,   -0.40,   -0.35,    0.15
195208,   -0.76,    1.15,    0.01,    0.15
195209,   -2.03,    1.11,   -1.52,    0.16
195210,   -0.66,   -1.05,   -0.46,    0.14
195211,    5.94,   -0.72,    0.97,    0.10
195212,    2.93,   -1.48,    0.19,    0.16
195301,   -0.34,    3.61,    1.32,    0.16
195302,   -0.27,    2.15,   -0.09,    0.14
195303,   -1.43,   -0.22,   -0.85,    0.18
195304,   -2.83,    0.30,    1.57,    0.16
195305,    0.52,   -0.07,    0.23,    0.17
195306,   -1.89,   -1.87,   -0.47,    0.18
195307,    2.40,   -0.99,   -0.22,    0.15
195308,   -4.52,    0.30,   -3.54,    0.17
195309,    0.20,   -0.82,   -2.44,    0.16
195310,    4.60,   -1.37,   -0.24,    0.13
195311,    2.83,   -1.32,   -0.15,    0.08
195312,    0.03,   -0.86,   -2.82,    0.13
195401,    5.13,    0.50,    3.42,    0.11
195402,    1.67,   -0.20,   -0.28,    0.07
195403,    3.65,   -0.52,   -1.50,    0.08
195404,    4.27,   -3.42,   -0.34,    0.09
195405,    3.09,    0.41,    2.46,    0.05
195406,    1.07,    0.39,    0.00,    0.06
195407,    4.99,    1.06,    4.13,    0.05
195408,   -2.34,    2.69,   -1.38,    0.05
195409,    6.39,   -2.53,    0.68,    0.09
195410,   -1.67,    0.62,    0.67,    0.07
195411,    9.38,   -2.62,    4.40,    0.06
195412,    5.48,    2.12,    5.66,    0.08
195501,    0.60,    0.36,    2.14,    0.08
195502,    3.02,    1.59,    0.58,    0.09
195503,   -0.16,   -0.74,    1.97,    0.10
195504,    3.11,   -1.62,    0.68,    0.10
195505,    0.93,   -0.28,   -0.96,    0.14
195506,    6.55,   -4.65,    1.84,    0.10
195507,    1.90,   -1.15,    0.39,    0.10
195508,    0.21,   -0.44,    0.72,    0.16
195509,   -0.36,    0.28,   -0.98,    0.16
195510,   -2.68,    1.52,   -0.11,    0.18
195511,    7.03,   -2.19,    0.33,    0.17
195512,    1.49,    2.11,   -2.31,    0.18
195601,   -3.03,    0.41,    0.93,    0.22
195602,    3.77,   -0.98,   -0.39,    0.19
195603,    6.64,   -2.11,   -0.45,    0.15
195604,    0.28,    0.04,   -0.22,    0.19
195605,   -5.20,    1.46,   -1.34,    0.23
195606,    3.48,   -1.48,   -1.10,    0.20
195607,    4.84,   -1.68,   -0.01,    0.22
195608,   -3.18,    1.91,   -0.78,    0.17
195609,   -5.14,    1.54,    1.76,    0.18
195610,    0.52,   -0.11,   -0.01,    0.25
195611,    0.36,   -0.16,    1.76,    0.20
195612,    3.16,   -0.04,   -2.08,    0.24
195701,   -3.58,    3.32,    2.79,    0.27
195702,   -2.06,   -0.64,   -0.79,    0.24
195703,    2.13,    0.31,   -0.49,    0.23
195704,    4.26,   -1.60,   -1.43,    0.25
195705,    3.45,   -1.02,   -2.12,    0.26
195706,   -0.74,    0.54,    0.03,    0.24
195707,    0.66,   -0.76,    0.43,    0.30
195708,   -5.11,    0.05,   -0.41,    0.25
195709,   -5.98,    0.08,    0.92,    0.26
195710,   -4.32,   -2.52,   -1.80,    0.29
195711,    2.30,    0.40,   -2.87,    0.28
195712,   -3.91,   -0.98,   -1.62,    0.24
195801,    4.66,    4.39,    4.19,    0.28
195802,   -1.52,    0.65,    0.33,    0.12
195803,    3.27,    0.65,   -0.97,    0.09
195804,    3.09,   -0.62,    1.61,    0.08
195805,    2.31,    2.16,   -0.26,    0.11
195806,    2.93,   -0.19,    0.40,    0.03
195807,    4.39,    0.48,    3.10,    0.07
195808,    1.91,    1.18,    0.38,    0.04
195809,    4.66,    0.13,    2.86,    0.19
195810,    2.53,    1.08,   -1.23,    0.18
195811,    3.01,    1.97,   -1.20,    0.11
195812,    5.15,   -2.03,    0.03,    0.22
195901,    0.71,    3.02,    2.93,    0.21
195902,    0.95,    1.46,    1.15,    0.19
195903,    0.28,    1.49,   -0.35,    0.22
195904,    3.66,   -0.60,   -1.23,    0.20
195905,    1.73,   -2.16,    1.81,    0.22
195906,   -0.25,    0.67,    1.31,    0.25
195907,    3.17,   -0.30,    0.23,    0.25
195908,   -1.39,   -0.77,    0.42,    0.19
195909,   -4.80,   -0.09,    0.54,    0.31
195910,    1.28,    1.45,   -2.06,    0.30
195911,    1.60,    1.24,   -3.19,    0.26
195912,    2.45,   -0.58,   -0.06,    0.34
196001,   -6.98,    2.08,    2.73,    0.33
196002,    1.17,    0.51,   -1.91,    0.29
196003,   -1.63,   -0.48,   -2.88,    0.35
196004,   -1.71,    0.33,   -2.26,    0.19
196005,    3.12,    1.22,   -3.64,    0.27
196006,    2.08,   -0.19,   -0.21,    0.24
196007,   -2.37,   -0.47,    1.96,    0.13
196008,    3.01,    0.85,   -0.22,    0.17
196009,   -5.99,   -1.09,    1.60,    0.16
196010,   -0.71,   -4.07,    2.74,    0.22
196011,    4.69,    0.37,   -2.43,    0.13
196012,    4.71,   -1.53,   -0.80,    0.16
196101,    6.20,    0.72,    3.67,    0.19
196102,    3.57,    3.94,   -0.65,    0.14
196103,    2.89,    3.33,   -0.74,    0.20
196104,    0.29,    0.07,    2.05,    0.17
196105,    2.40,    1.99,    0.43,    0.18
196106,   -3.08,   -2.48,   -0.17,    0.20
196107,    2.83,   -1.84,   -0.18,    0.18
196108,    2.57,   -1.77,   -0.27,    0.14
196109,   -2.15,   -1.05,   -0.64,    0.17
196110,    2.57,   -1.54,   -0.01,    0.19
196111,    4.45,    1.22,   -1.17,    0.15
196112,   -0.18,   -0.90,    1.87,    0.19
196201,   -3.87,    1.82,    5.07,    0.24
196202,    1.81,   -1.20,    0.91,    0.20
196203,   -0.68,    0.48,   -1.33,    0.20
196204,   -6.59,   -0.69,    0.02,    0.22
196205,   -8.65,   -3.35,    2.81,    0.24
196206,   -8.47,   -0.63,    2.60,    0.20
196207,    6.28,    1.63,   -3.57,    0.27
196208,    2.13,    1.25,   -1.21,    0.23
196209,   -5.22,   -2.48,    1.34,    0.21
196210,   -0.05,   -4.01,    1.35,    0.25
196211,   10.87,    2.59,    0.99,    0.20
196212,    1.01,   -3.80,    0.35,    0.23
196301,    4.93,    3.12,    2.17,    0.25
196302,   -2.38,    0.46,    2.20,    0.23
196303,    3.08,   -2.48,    1.90,    0.23
196304,    4.51,   -1.35,    1.00,    0.25
196305,    1.76,    1.07,    2.61,    0.24
196306,   -2.00,   -0.29,    0.77,    0.23
196307,   -0.39,   -0.53,   -0.89,    0.27
196308,    5.07,   -0.89,    1.68,    0.25
196309,   -1.57,   -0.35,    0.08,    0.27
196310,    2.53,   -0.56,   -0.14,    0.29
196311,   -0.85,   -1.17,    1.81,    0.27
196312,    1.83,   -2.11,   -0.08,    0.29
196401,    2.24,   -0.14,    1.47,    0.30
196402,    1.54,    0.13,    2.74,    0.26
196403,    1.41,    0.99,    3.36,    0.31
196404,    0.10,   -1.44,   -0.58,    0.29
196405,    1.42,   -0.86,    1.82,    0.26
196406,    1.27,   -0.10,    0.63,    0.30
196407,    1.74,    0.22,    0.75,    0.30
196408,   -1.44,    0.17,    0.08,    0.28
196409,    2.69,   -0.53,    1.70,    0.28
196410,    0.59,    0.44,    1.17,    0.29
196411,    0.00,    0.69,   -1.96,    0.29
196412,    0.03,   -0.36,   -2.48,    0.31
196501,    3.54,    2.70,    0.12,    0.28
196502,    0.44,    3.53,    0.11,    0.30
196503,   -1.34,    1.88,    1.03,    0.36
196504,    3.11,    1.15,    0.66,    0.31
196505,   -0.77,    0.13,   -1.61,    0.31
196506,   -5.51,   -4.35,    0.59,    0.35
196507,    1.43,    0.87,    2.14,    0.31
196508,    2.73,    2.83,   -1.02,    0.33
196509,    2.86,    0.64,   -0.12,    0.31
196510,    2.60,    2.53,    1.57,    0.31
196511,   -0.03,    4.65,    0.10,    0.35
196512,    1.01,    2.06,    2.02,    0.33
196601,    0.72,    3.84,    3.53,    0.38
196602,   -1.21,    4.38,    0.29,    0.35
196603,   -2.51,    0.98,   -2.00,    0.38
196604,    2.14,    3.41,   -0.47,    0.34
196605,   -5.66,   -4.60,   -1.61,    0.41
196606,   -1.44,    1.04,    0.49,    0.38
196607,   -1.63,   -0.43,    0.99,    0.35
196608,   -7.91,   -3.29,    0.44,    0.41
196609,   -1.06,   -1.04,    0.51,    0.40
196610,    3.86,   -6.52,    2.68,    0.45
196611,    1.40,    4.35,   -4.77,    0.40
196612,    0.13,    2.09,   -1.32,    0.40
196701,    8.15,    8.30,    2.25,    0.43
196702,    0.78,    3.33,   -2.18,    0.36
196703,    3.99,    1.42,    0.54,    0.39
196704,    3.89,    0.62,   -2.45,    0.32
196705,   -4.33,    1.80,    1.18,    0.33
196706,    2.41,    5.91,    0.85,    0.27
196707,    4.58,    3.10,    2.72,    0.31
196708,   -0.89,    0.39,    1.52,    0.31
196709,    3.11,    3.02,   -2.42,    0.32
196710,   -3.09,    1.38,   -3.22,    0.39
196711,    0.37,    0.16,   -1.69,    0.36
196712,    3.05,    5.78,   -0.63,    0.33
196801,   -4.06,    3.89,    4.84,    0.40
196802,   -3.75,   -2.96,    1.33,    0.39
196803,    0.20,   -1.35,   -0.59,    0.38
196804,    9.05,    5.66,   -1.17,    0.43
196805,    2.28,    6.49,    0.66,    0.45
196806,    0.69,   -0.25,    0.83,    0.43
196807,   -2.72,   -1.37,    5.39,    0.48
196808,    1.34,    2.32,    1.00,    0.42
196809,    4.03,    2.81,    0.30,    0.43
196810,    0.42,   -0.48,    2.86,    0.44
196811,    5.43,    2.37,   -0.93,    0.42
196812,   -3.94,    3.40,   -0.01,    0.43
196901,   -1.25,   -0.76,    1.68,    0.53
196902,   -5.84,   -3.94,    0.90,    0.46
196903,    2.64,   -0.26,   -0.52,    0.46
196904,    1.46,   -0.87,   -0.03,    0.53
196905,   -0.10,   -0.22,    0.72,    0.48
196906,   -7.18,   -5.41,   -1.09,    0.51
196907,   -7.00,   -3.22,    1.18,    0.53
196908,    4.68,    0.89,   -3.77,    0.50
196909,   -2.98,    1.14,   -3.19,    0.62
196910,    5.06,    3.87,   -3.10,    0.60
196911,   -3.79,   -2.58,   -1.21,    0.52
196912,   -2.63,   -3.72,   -2.84,    0.64
197001,   -8.10,    2.95,    3.12,    0.60
197002,    5.13,   -2.56,    3.93,    0.62
197003,   -1.06,   -2.30,    3.99,    0.57
197004,  -11.00,   -6.12,    6.17,    0.50
197005,   -6.92,   -4.56,    3.32,    0.53
197006,   -5.79,   -2.14,    0.60,    0.58
197007,    6.93,   -0.50,    0.91,    0.52
197008,    4.49,    1.53,    1.27,    0.53
197009,    4.18,    8.59,   -5.52,    0.54
197010,   -2.28,   -4.22,    0.21,    0.46
197011,    4.60,   -3.94,    1.70,    0.46
197012,    5.72,    2.92,    0.99,    0.42
197101,    4.84,    7.38,    1.48,    0.38
197102,    1.41,    1.86,   -1.27,    0.33
197103,    4.13,    2.61,   -4.03,    0.30
197104,    3.15,   -0.48,    0.81,    0.28
197105,   -3.98,   -1.04,   -1.41,    0.29
197106,   -0.10,   -1.48,   -1.94,    0.37
197107,   -4.50,   -1.51,   -0.01,    0.40
197108,    3.79,   -0.15,    2.64,    0.47
197109,   -0.85,    0.51,   -2.91,    0.37
197110,   -4.42,   -1.74,   -0.48,    0.37
197111,   -0.46,   -2.78,   -1.70,    0.37
197112,    8.71,    3.26,   -0.41,    0.37
197201,    2.49,    5.88,    2.27,    0.29
197202,    2.87,    1.31,   -2.77,    0.25
197203,    0.63,   -0.27,   -1.63,    0.27
197204,    0.29,    0.08,    0.10,    0.29
197205,    1.25,   -2.73,   -2.72,    0.30
197206,   -2.43,    0.24,   -2.49,    0.29
197207,   -0.80,   -2.87,    0.66,    0.31
197208,    3.26,   -4.03,    4.53,    0.29
197209,   -1.14,   -2.65,    0.47,    0.34
197210,    0.52,   -2.73,    1.35,    0.40
197211,    4.60,   -1.20,    4.83,    0.37
197212,    0.62,   -1.95,   -2.19,    0.37
197301,   -3.29,   -3.49,    2.68,    0.44
197302,   -4.85,   -3.87,    1.60,    0.41
197303,   -1.30,   -2.82,    2.62,    0.46
197304,   -5.68,   -3.85,    5.42,    0.52
197305,   -2.94,   -6.30,    0.41,    0.51
197306,   -1.57,   -2.85,    1.19,    0.51
197307,    5.05,    7.97,   -5.26,    0.64
197308,   -3.82,   -2.02,    1.06,    0.70
197309,    4.75,    2.93,    2.24,    0.68
