Ticker,Name,Weight,Market Value,Sector,Country
EXC,EXELON CORP,0.08,USD 4897566.90,Utilities,US
WDAY,WORKDAY INC CLASS A,0.08,USD 4867554.30,Information Technology,US
WES.AX,WESFARMERS LTD,0.08,USD 4863470.16,Consumer Discretionary,AU
KMB,KIMBERLY CLARK CORP,0.08,USD 4859003.24,Consumer Staples,US
INFO,IHS MARKIT LTD,0.08,USD 4851941.58,Industrials,BM
NEM,NEWMONT,0.08,USD 4835405.48,Materials,US
ATCO-A.ST,ATLAS COPCO CLASS A,0.08,USD 4831045.54,Industrials,SE
NG..L,NATIONAL GRID PLC,0.08,USD 4792261.74,Utilities,GB
CARR,CARRIER GLOBAL CORP,0.08,USD 4768204.88,Industrials,US
CDNS,CADENCE DESIGN SYSTEMS INC,0.08,USD 4732334.84,Information Technology,US
DOW,DOW INC,0.08,USD 4724676.60,Materials,US
GIVN.SW,GIVAUDAN SA,0.08,USD 4700451.50,Materials,CH
APH,AMPHENOL CORP CLASS A,0.08,USD 4689281.70,Information Technology,US
ALC.SW,ALCON AG,0.07,USD 4637415.00,Health Care,CH
SPG,SIMON PROPERTY GROUP REIT INC,0.07,USD 4623430.95,Real Estate,US
BK,BANK OF NEW YORK MELLON CORP,0.07,USD 4587158.72,Financials,US
8316.T,SUMITOMO MITSUI FINANCIAL GROUP IN,0.07,USD 4556713.04,Financials,JP
6273.T,SMC (JAPAN) CORP,0.07,USD 4542202.30,Industrials,JP
RI.PA,PERNOD RICARD SA,0.07,USD 4529089.97,Consumer Staples,FR
MQG.AX,MACQUARIE GROUP LTD DEF,0.07,USD 4527235.67,Financials,AU
ISP.MI,INTESA SANPAOLO,0.07,USD 4526691.84,Financials,IT
BBVA.MC,BANCO BILBAO VIZCAYA ARGENTARIA SA,0.07,USD 4511737.38,Financials,ES
BAX,BAXTER INTERNATIONAL INC,0.07,USD 4497152.41,Health Care,US
VOD.L,VODAFONE GROUP PLC,0.07,USD 4487993.48,Communication,GB
NDA-SE.HE,NORDEA BANK,0.07,USD 4461582.14,Financials,FI
BIIB,BIOGEN INC,0.07,USD 4452544.01,Health Care,US
BN.PA,DANONE SA,0.07,USD 4442514.33,Consumer Staples,FR
VOW3.DE,VOLKSWAGEN NON-VOTING PREF AG,0.07,USD 4440480.28,Consumer Discretionary,DE
ABI.BR,ANHEUSER BUSCH INBEV SA,0.07,USD 4434960.29,Consumer Staples,BE
STLA.AS,STELLANTIS NV,0.07,USD 4420628.28,Consumer Discretionary,NL
ORLY,OREILLY AUTOMOTIVE INC,0.07,USD 4408950.04,Consumer Discretionary,US
TRV,TRAVELERS COMPANIES INC,0.07,USD 4396009.26,Financials,US
LLOY.L,LLOYDS BANKING GROUP PLC,0.07,USD 4385981.57,Financials,GB
MCHP,MICROCHIP TECHNOLOGY INC,0.07,USD 4384482.27,Information Technology,US
MUV2.DE,MUENCHENER RUECKVERSICHERUNGS-GESE,0.07,USD 4371213.42,Financials,DE
ROST,ROSS STORES INC,0.07,USD 4351664.31,Consumer Discretionary,US
MSI,MOTOROLA SOLUTIONS INC,0.07,USD 4349741.13,Information Technology,US
AEP,AMERICAN ELECTRIC POWER INC,0.07,USD 4346064.78,Utilities,US
EOG,EOG RESOURCES INC,0.07,USD 4341998.05,Energy,US
9434.T,SOFTBANK CORP,0.07,USD 4311979.51,Communication,JP
4568.T,DAIICHI SANKYO LTD,0.07,USD 4308460.13,Health Care,JP
MTCH,MATCH GROUP INC,0.07,USD 4305760.11,Communication,US
EXPN.L,EXPERIAN PLC,0.07,USD 4294888.56,Industrials,GB
CNQ.TO,CANADIAN NATURAL RESOURCES LTD,0.07,USD 4290745.00,Energy,CA
SBAC,SBA COMMUNICATIONS REIT CORP CLASS,0.07,USD 4286492.14,Real Estate,US
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,0.07,USD 4277985.28,Information Technology,US
BARC.L,BARCLAYS PLC,0.07,USD 4270504.85,Financials,GB
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,0.07,USD 4265235.40,Information Technology,US
DLR,DIGITAL REALTY TRUST REIT INC,0.07,USD 4250608.88,Real Estate,US
8058.T,MITSUBISHI CORP,0.07,USD 4233281.49,Industrials,JP
6702.T,FUJITSU LTD,0.07,USD 4219227.78,Information Technology,JP
SRE,SEMPRA,0.07,USD 4209746.32,Utilities,US
MAR,MARRIOTT INTERNATIONAL INC CLASS A,0.07,USD 4205992.28,Consumer Discretionary,US
PHIA.AS,KONINKLIJKE PHILIPS NV,0.07,USD 4184675.10,Health Care,NL
MPC,MARATHON PETROLEUM CORP,0.07,USD 4157926.43,Energy,US
RMD,RESMED INC,0.07,USD 4155038.94,Health Care,US
INVE-B.ST,INVESTOR CLASS B,0.07,USD 4134843.68,Financials,SE
APTV,APTIV PLC,0.07,USD 4133664.65,Consumer Discretionary,JE
CRG,CRH PLC,0.07,USD 4124484.94,Materials,IE
9983.T,FAST RETAILING LTD,0.07,USD 4099419.00,Consumer Discretionary,JP
SAF.PA,SAFRAN SA,0.07,USD 4094180.93,Industrials,FR
VEEV,VEEVA SYSTEMS INC CLASS A,0.07,USD 4089952.30,Health Care,US
SGO.PA,COMPAGNIE DE SAINT GOBAIN SA,0.07,USD 4078002.33,Industrials,FR
FTNT,FORTINET INC,0.07,USD 4051658.61,Information Technology,US
SLB,SCHLUMBERGER NV,0.07,USD 4037722.36,Energy,AN
D05.SI,DBS GROUP HOLDINGS LTD,0.07,USD 4036779.78,Financials,SG
MFC.TO,MANULIFE FINANCIAL CORP,0.07,USD 4034058.13,Financials,CA
PRU,PRUDENTIAL FINANCIAL INC,0.07,USD 4033532.80,Financials,US
XLNX,XILINX INC,0.07,USD 4030294.72,Information Technology,US
ROK,ROCKWELL AUTOMATION INC,0.06,USD 4021384.53,Industrials,US
PGHN.SW,PARTNERS GROUP HOLDING AG,0.06,USD 4009627.37,Financials,CH
AHT.L,ASHTEAD GROUP PLC,0.06,USD 4000632.51,Industrials,GB
DSM.AS,KONINKILIJKE DSM NV,0.06,USD 3995798.25,Materials,NL
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,0.06,USD 3989882.88,Materials,US
PH,PARKER-HANNIFIN CORP,0.06,USD 3989532.12,Industrials,US
